rank,finalWorth,personName,age,country,countryOfCitizenship,source,industries,organization,selfMade,gender,birthDate,title,cpi_country,cpi_change_country,gdp_country,gross_tertiary_education_enrollment,gross_primary_education_enrollment_country,life_expectancy_country,total_tax_rate_country,latitude_country,longitude_country
445,5700,Dirk Ziff,59.62765229295003,United States,United States,Investments,Finance & Investments,Unknown,False,M,1964-04-01 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
445,5700,Robert Ziff,57.26488706365503,United States,United States,Investments,Finance & Investments,Unknown,False,M,1966-08-12 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
455,5600,Maria Angelicoussis,41.74401095140315,Greece,Greece,Shipping,Logistics,Unknown,False,F,1982-02-18 00:00:00,Unknown,101.87,0.2,"$209,852,761,469 ",136.6,99.6,81.3,51.9,39.074208,21.824312
455,5600,Ray Lee Hunt,80.61601642710473,United States,United States,"Oil, real estate",Energy,Unknown,False,M,1943-04-06 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
455,5600,Lai Meisong,52.96098562628337,China,China,Package delivery,Logistics,Unknown,True,M,1970-12-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
455,5600,Vikram Lal & family,81.70294318959617,India,India,Motorcycles,Automotive,Unknown,False,M,1942-03-05 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
455,5600,Ken Langone,88.1697467488022,United States,United States,Investments,Finance & Investments,Unknown,True,M,1935-09-16 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
455,5600,Li Ge,56.876112251882276,China,United States,Pharmaceutical ingredients,Healthcare,Unknown,True,M,1967-01-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
455,5600,Karen Pritzker,65.8590006844627,United States,United States,"Hotels, investments",Finance & Investments,Unknown,False,F,1958-01-07 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
455,5600,Robert Rowling,70.1409993155373,United States,United States,"Hotels, investments",Service,Unknown,False,M,1953-09-26 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
455,5600,Teddy Sagi,52.04380561259411,Israel,Israel,Gambling software,Gambling & Casinos,Unknown,True,M,1971-11-01 00:00:00,Unknown,108.15,0.8,"$395,098,666,122 ",63.4,104.9,82.8,25.3,31.046051,34.851612
455,5600,Seo Jung-jin,66.06707734428474,South Korea,South Korea,Biotech,Healthcare,Celltrion Inc.,True,M,1957-10-23 00:00:00,Unknown,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,33.2,35.907757,127.766922
455,5600,Wu Jianshu,59.87679671457906,China,Hong Kong,Auto parts,Automotive,Unknown,True,M,1964-01-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
466,5500,Micky Arison,74.38466803559206,United States,United States,Carnival Cruises,Service,Carnival Corp.,False,M,1949-06-29 00:00:00,Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,James Chambers,66.59822039698837,United States,United States,"Media, automotive",Media & Entertainment,Unknown,False,M,1957-04-12 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Pierre Chen,67.13483915126626,Taiwan,Taiwan,Electronics,Technology,Unknown,True,M,1956-09-28 00:00:00,Unknown,,,,,,,,,
466,5500,John Collison,33.281314168377826,United States,Ireland,Payments software,Technology,Stripe,True,M,1990-08-06 00:00:00,Cofounder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Patrick Collison,35.186858316221766,United States,Ireland,Payment software,Technology,Stripe,True,M,1988-09-09 00:00:00,Cofounder,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Archie Aldis Emmerson & family,94.60369609856262,United States,United States,"Timberland, lumber mills",Manufacturing,Unknown,True,M,1929-04-10 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Piero Ferrari,78.48870636550308,Italy,Italy,Automobiles,Automotive,Unknown,False,M,1945-05-22 00:00:00,Unknown,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,41.87194,12.56738
466,5500,Dan Friedkin,58.718685831622174,United States,United States,Toyota dealerships,Automotive,Gulf States Toyota,False,M,1965-02-27 00:00:00,owner and ceo,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,James Irving,95.66050650239562,Canada,Canada,Diversified,Diversified,Unknown,False,M,1928-03-20 00:00:00,Unknown,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,24.5,56.130366,-106.346771
466,5500,Jiang Weiping & family,68.71457905544148,China,China,Chemicals,Manufacturing,Unknown,True,M,1955-03-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
466,5500,Wolfgang Marguerre & family,82.45311430527036,Germany,Germany,Pharmaceuticals,Healthcare,Unknown,True,M,1941-06-04 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
466,5500,Ludwig Merckle,58.874743326488705,Germany,Germany,Pharmaceuticals,Finance & Investments,Unknown,False,M,1965-01-01 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
466,5500,Mitchell Rales,67.23887748117727,United States,United States,"Manufacturing, investments",Manufacturing,Unknown,True,M,1956-08-21 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Katharine Rayner,78.84462696783025,United States,United States,"Media, automotive",Media & Entertainment,Unknown,False,F,1945-01-12 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Jean Salata,57.960301163586585,Hong Kong,Chile,Finance,Finance & Investments,Unknown,True,M,1965-12-01 00:00:00,Unknown,,,,,,,,,
466,5500,Paul Singer,79.23613963039014,United States,United States,Hedge funds,Finance & Investments,Elliott Management,True,M,1944-08-22 00:00:00,Investor,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Sergio Stevanato & family,80.66255989048597,Italy,Italy,Medical packaging,Healthcare,Unknown,True,M,1943-03-20 00:00:00,Unknown,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,41.87194,12.56738
466,5500,Margaretta Taylor,81.59069130732375,United States,United States,"Media, automotive",Media & Entertainment,Unknown,False,F,1942-04-15 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
466,5500,Richard White,68.62970568104038,Australia,Australia,Software,Technology,Unknown,True,M,1955-04-01 00:00:00,Unknown,119.8,1.6,"$1,392,680,589,329 ",113.1,100.3,82.7,47.4,-25.274398,133.775136
466,5500,Zhao Yan,56.876112251882276,China,China,Biotech,Diversified,Unknown,True,F,1967-01-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
486,5400,Patrizio Bertelli,77.8754277891855,Italy,Italy,Luxury goods,Fashion & Retail,Unknown,True,M,1946-01-01 00:00:00,Unknown,110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,41.87194,12.56738
486,5400,Mahendra Choksi & family,82.57905544147845,India,India,Paints,Manufacturing,Unknown,False,M,1941-04-19 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
486,5400,Mat Ishbia,43.8631074606434,United States,United States,Mortgage lender,Finance & Investments,Unknown,False,M,1980-01-06 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
486,5400,Leo Koguan,68.75290896646133,Singapore,United States,IT provider,Technology,Unknown,True,M,1955-02-15 00:00:00,Unknown,114.41,0.6,"$372,062,527,489 ",84.8,100.6,83.1,21.0,1.352083,103.819836
486,5400,Miao Hangen,58.874743326488705,China,China,"Textiles, petrochemicals",Diversified,Unknown,True,M,1965-01-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
486,5400,Michael Pieper,77.77960301163587,Switzerland,Switzerland,Kitchen appliances,Manufacturing,Artemis Real Estate Partners,True,M,1946-02-05 00:00:00,CEO of Artemis Group,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
486,5400,Miuccia Prada,74.52156057494867,Italy,Italy,Luxury goods,Fashion & Retail,Prada,False,F,1949-05-10 00:00:00,"CEO, Fashion Designer",110.62,0.6,"$2,001,244,392,042 ",61.9,101.9,82.9,59.1,41.87194,12.56738
486,5400,Wolfgang Reimann,71.11841204654347,Germany,Germany,Consumer goods,Fashion & Retail,Unknown,False,M,1952-10-04 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
486,5400,Matthias Reimann-Andersen,58.63381245722108,Germany,Germany,Consumer goods,Fashion & Retail,Unknown,False,M,1965-03-30 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
486,5400,Stefan Reimann-Andersen,60.34770704996578,Austria,Germany,Consumer goods,Fashion & Retail,Unknown,False,M,1963-07-13 00:00:00,Unknown,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,51.4,47.516231,14.550072
486,5400,Renate Reimann-Haas,72.10951403148529,Austria,Germany,Consumer goods,Fashion & Retail,Unknown,False,F,1951-10-08 00:00:00,Unknown,118.06,1.5,"$446,314,739,528 ",85.1,103.1,81.6,51.4,47.516231,14.550072
497,5300,Todd Boehly,50.157426420260094,United States,United States,Finance,Finance & Investments,Unknown,True,M,1973-09-20 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Rick Caruso,64.85968514715948,United States,United States,Real estate,Real Estate,Unknown,True,M,1959-01-07 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Ibrahim Erdemoglu,61.14168377823409,Turkey,Turkey,Carpet,Manufacturing,Unknown,True,M,1962-09-26 00:00:00,Unknown,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,42.3,38.963745,35.243322
497,5300,Elizabeth Johnson,60.53114305270363,United States,United States,Fidelity,Finance & Investments,Unknown,False,F,1963-05-07 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Douglas Leone,66.3709787816564,United States,United States,Venture capital,Finance & Investments,Sequoia,True,M,1957-07-04 00:00:00,Global Managing Partner,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Prajogo Pangestu,79.51266255989049,Indonesia,Indonesia,Petrochemicals,Diversified,Unknown,False,M,1944-05-13 00:00:00,Unknown,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,-0.789275,113.921327
497,5300,Thomas Pritzker,73.44832306639289,United States,United States,"Hotels, investments",Finance & Investments,Hyatt Hotels,False,M,1950-06-06 00:00:00,Executive Chairman,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Lynda Resnick,80.87337440109513,United States,United States,Agriculture,Food & Beverage,Unknown,True,F,1943-01-02 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Stewart Resnick,86.89664613278576,United States,United States,Agriculture,Food & Beverage,Unknown,True,M,1936-12-24 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Gary Rollins,79.21423682409309,United States,United States,Pest control,Service,Unknown,False,M,1944-08-30 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Mark Walter,63.488021902806295,United States,United States,"Finance, asset management",Finance & Investments,Guggenheim Partners LLC,True,M,1960-05-22 00:00:00,CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Ronald Wanek,82.49691991786447,United States,United States,Furniture,Manufacturing,Unknown,True,M,1941-05-19 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
497,5300,Erich Wesjohann & family,78.45859000684463,Germany,Germany,Poultry genetics,Food & Beverage,Unknown,True,M,1945-06-02 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
497,5300,M.A. Yusuff Ali,68.00547570157427,United Arab Emirates,India,Retail,Fashion & Retail,Unknown,True,M,1955-11-15 00:00:00,Unknown,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,15.9,23.424076,53.847818
511,5200,Alexandre Behring,56.73921971252567,United States,Brazil,Investments,Finance & Investments,Unknown,True,M,1967-02-20 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
511,5200,Cheng Xue,53.72210814510609,China,China,Soy sauce,Food & Beverage,Unknown,True,F,1970-02-26 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
511,5200,Robert Faith,60.12320328542094,United States,United States,Real estate management,Real Estate,Unknown,True,M,1963-10-03 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
511,5200,Gao Dekang & family,71.79192334017796,China,China,Apparel,Fashion & Retail,Unknown,True,M,1952-02-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
511,5200,Micky Jagtiani,72.13689253935661,United Arab Emirates,India,Retail,Fashion & Retail,Unknown,False,M,1951-09-28 00:00:00,Unknown,114.52,-1.9,"$421,142,267,938 ",36.8,108.4,77.8,15.9,23.424076,53.847818
511,5200,Ananda Krishnan,85.6290212183436,Malaysia,Malaysia,"Telecoms, media, oil-services",Telecom,Unknown,True,M,1938-04-01 00:00:00,Unknown,121.46,0.7,"$364,701,517,788 ",45.1,105.3,76.0,38.7,4.210484,101.975766
511,5200,Barry Lam,74.56536618754278,Taiwan,Taiwan,Electronics,Technology,Unknown,True,M,1949-04-24 00:00:00,Unknown,,,,,,,,,
511,5200,"Robert Rich, Jr.",82.80903490759754,United States,United States,Frozen foods,Food & Beverage,Unknown,False,M,1941-01-25 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
511,5200,Mark Scheinberg,49.889117043121146,United Kingdom,Canada,Online gambling,Gambling & Casinos,Unknown,True,M,1973-12-27 00:00:00,Unknown,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,55.378051,-3.435973
511,5200,Charles Simonyi,75.18412046543463,United States,United States,Microsoft,Technology,Unknown,True,M,1948-09-10 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
511,5200,Ty Warner,79.20328542094455,United States,United States,"Plush toys, real estate",Real Estate,Unknown,True,M,1944-09-03 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
511,5200,Sam Zell,82.13552361396304,United States,United States,"Real estate, private equity",Real Estate,Unknown,True,M,1941-09-28 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
523,5100,Fang Wei,50.20123203285421,China,China,Steel,Manufacturing,Unknown,True,M,1973-09-04 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
523,5100,Rekha Jhunjhunwala,60.18069815195072,India,India,Investments,Finance & Investments,Unknown,False,F,1963-09-12 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
523,5100,Charles B. Johnson,90.86105407255305,United States,United States,Franklin Templeton,Finance & Investments,Franklin Resources Inc.,False,M,1933-01-06 00:00:00,Former Chairman and CEO,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
523,5100,Kwon Hyuk-bin,49.87542778918549,South Korea,South Korea,Online games,Media & Entertainment,Smilegate Holdings,True,M,1974-01-01 00:00:00,Unknown,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,33.2,35.907757,127.766922
523,5100,Sami Mnaymneh,62.34633812457221,United States,United States,Private equity,Finance & Investments,Unknown,True,M,1961-07-13 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
523,5100,Kjell Inge Rokke,65.06228610540725,Norway,Norway,"Shipping, seafood",Logistics,Unknown,True,M,1958-10-25 00:00:00,Unknown,120.27,2.2,"$403,336,363,636 ",82.0,100.3,82.8,36.2,60.472024,8.468946
523,5100,Tony Tamer,66.09719370294319,United States,United States,Private equity,Finance & Investments,Unknown,True,M,1957-10-12 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
523,5100,Tse Ping & family,71.87132101300479,Hong Kong,China,Pharmaceuticals,Healthcare,Unknown,True,M,1952-01-03 00:00:00,Unknown,,,,,,,,,
523,5100,Romesh T. Wadhwani,76.22997946611909,United States,United States,Software,Technology,Symphony Technology Group,True,M,1947-08-25 00:00:00,Founder and Chairman,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
523,5100,Hansjoerg Wyss,88.87611225188228,United States,Switzerland,Medical devices,Healthcare,Unknown,True,M,1935-01-01 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
523,5100,Denise York & family,73.07323750855578,United States,United States,San Francisco 49ers,Sports,San Francisco 49ers,False,F,1950-10-21 00:00:00,Co-Chairman,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
534,5000,Ron Baron,80.48733744010951,United States,United States,Money management,Finance & Investments,Unknown,True,M,1943-05-23 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
534,5000,Robert Bass,75.66324435318275,United States,United States,"Oil, investments",Energy,Unknown,False,M,1948-03-19 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
534,5000,Dona Bertarelli,55.87679671457906,Switzerland,Switzerland,Biotech and investments,Healthcare,Unknown,False,F,1968-01-01 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
534,5000,Alexander Gerko,43.95619438740589,United Kingdom,United Kingdom,Trading,Finance & Investments,Unknown,True,M,1979-12-03 00:00:00,Unknown,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,55.378051,-3.435973
534,5000,Martin Haefner,69.8754277891855,Switzerland,Switzerland,"Software, investments",Technology,Unknown,False,M,1954-01-01 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
534,5000,"Robert Hale, Jr.",57.360711841204655,United States,United States,Telecom,Telecom,Unknown,True,M,1966-07-08 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
534,5000,Viktor Kharitonin,50.98973305954826,Russia,Russia,Pharmaceuticals,Healthcare,Unknown,True,M,1972-11-20 00:00:00,Unknown,180.75,4.5,"$1,699,876,578,871 ",81.9,102.6,72.7,46.2,61.52401,105.318756
534,5000,Kim Beom-su,57.64271047227926,South Korea,South Korea,Online services,Technology,Unknown,True,M,1966-03-27 00:00:00,Unknown,115.16,0.4,"$2,029,000,000,000 ",94.3,98.1,82.6,33.2,35.907757,127.766922
534,5000,Jane Lauder,50.874743326488705,United States,United States,Estée Lauder,Fashion & Retail,Unknown,False,F,1973-01-01 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
534,5000,Michel Leclercq & family,84.47638603696099,France,France,Sporting goods,Fashion & Retail,Unknown,False,M,1939-05-27 00:00:00,Unknown,110.05,1.1,"$2,715,518,274,227 ",65.6,102.5,82.5,60.7,46.227638,2.213749
534,5000,George Lucas,79.50992470910336,United States,United States,Star Wars,Media & Entertainment,Unknown,True,M,1944-05-14 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
534,5000,Janice McNair,87.129363449692,United States,United States,"Energy, sports",Sports,Unknown,False,F,1936-09-30 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
534,5000,Ugur Sahin,58.16016427104723,Germany,Germany,Biotechnology,Healthcare,Unknown,True,M,1965-09-19 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
534,5000,Alexandra Schoerghuber & family,65.31690622861053,Germany,Germany,Real estate,Real Estate,Unknown,False,F,1958-07-24 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
534,5000,Thomas Straumann,60.323066392881586,Switzerland,Switzerland,Dental implants,Healthcare,Unknown,False,M,1963-07-22 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
534,5000,Murat Ulker,64.65434633812457,Turkey,Turkey,Food,Food & Beverage,Unknown,False,M,1959-03-23 00:00:00,Unknown,234.44,15.2,"$754,411,708,203 ",23.9,93.2,77.4,42.3,38.963745,35.243322
534,5000,Chip Wilson,66.87474332648871,Canada,Canada,Lululemon,Fashion & Retail,Lululemon,True,M,1957-01-01 00:00:00,Chairman,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,24.5,56.130366,-106.346771
534,5000,Zhu Yan & family,,China,China,Real estate,Real Estate,Unknown,False,F,,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
552,4900,Jim Davis & family,80.50376454483231,United States,United States,New Balance,Manufacturing,New Balance,True,M,1943-05-17 00:00:00,Chairman,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
552,4900,Murali Divi & family,72.67077344284736,India,India,Pharmaceuticals,Healthcare,Unknown,True,M,1951-03-17 00:00:00,Unknown,180.44,7.7,"$2,611,000,000,000 ",28.1,113.0,69.4,49.7,20.593684,78.96288
552,4900,Dagmar Dolby & family,82.3874058863792,United States,United States,Dolby Laboratories,Technology,Unknown,False,F,1941-06-28 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
552,4900,Marcos Galperin,,Argentina,Argentina,E-commerce,Technology,Unknown,True,M,,Unknown,232.75,53.5,"$449,663,446,954 ",90.0,109.7,76.5,106.3,-38.416097,-63.616672
552,4900,Tom Golisano,82.00684462696783,United States,United States,Payroll services,Service,Unknown,True,M,1941-11-14 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
552,4900,Jonathan Gray,53.782340862423,United States,United States,Investments,Finance & Investments,Unknown,True,M,1970-02-04 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
552,4900,Bidzina Ivanishvili,67.74537987679672,Georgia,Georgia,Investments,Finance & Investments,Unknown,True,M,1956-02-18 00:00:00,Unknown,133.61,4.9,"$17,743,195,770 ",63.9,98.6,73.6,9.9,42.315407,43.356892
552,4900,Lim Hariyanto Wijaya Sarwono,95.04175222450377,Indonesia,Indonesia,"Palm oil, nickel mining",Metals & Mining,Unknown,True,M,1928-11-01 00:00:00,Unknown,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,-0.789275,113.921327
552,4900,Rudolf Maag,77.79329226557152,Switzerland,Switzerland,Medical devices,Healthcare,Unknown,True,M,1946-01-31 00:00:00,Unknown,99.55,0.4,"$703,082,435,360 ",59.6,105.2,83.6,28.8,46.818188,8.227512
552,4900,Emanuele (Lino) Saputo & family,86.87474332648871,Canada,Canada,Cheese,Food & Beverage,Saputo,False,M,1937-01-01 00:00:00,Chairman,116.76,1.9,"$1,736,425,629,520 ",68.9,100.9,81.9,24.5,56.130366,-106.346771
552,4900,Mark Shoen,72.99110198494182,United States,United States,U-Haul,Automotive,Unknown,False,M,1950-11-20 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
552,4900,Dan Snyder,58.98151950718686,United States,United States,Washington Commanders,Sports,Unknown,True,M,1964-11-23 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
552,4900,Chairul Tanjung,61.4154688569473,Indonesia,Indonesia,Diversified,Diversified,Unknown,True,M,1962-06-18 00:00:00,Unknown,151.18,3.0,"$1,119,190,780,753 ",36.3,106.4,71.5,30.1,-0.789275,113.921327
552,4900,Kelcy Warren,68.02190280629706,United States,United States,Pipelines,Energy,Unknown,True,M,1955-11-09 00:00:00,Unknown,117.24,7.5,"$21,427,700,000,000 ",88.2,101.8,78.5,36.6,37.09024,-95.712891
552,4900,Zhang Tao,51.04175222450377,China,China,E-commerce,Fashion & Retail,Unknown,True,M,1972-11-01 00:00:00,Unknown,125.08,2.9,"$19,910,000,000,000 ",50.6,100.2,77.0,59.2,35.86166,104.195397
567,4800,Michael Ashley,59.17864476386037,United Kingdom,United Kingdom,Sports retailing,Fashion & Retail,Unknown,True,M,1964-09-12 00:00:00,Unknown,119.62,1.7,"$2,827,113,184,696 ",60.0,101.2,81.3,30.6,55.378051,-3.435973
567,4800,Tomasz Biernacki,50.874743326488705,Poland,Poland,Supermarkets,Fashion & Retail,Unknown,True,M,1973-01-01 00:00:00,Unknown,114.11,2.2,"$592,164,400,688 ",67.8,100.0,77.6,40.8,51.919438,19.145136
567,4800,Bernard Broermann,79.98631074606433,Germany,Germany,Hospitals,Healthcare,Unknown,True,M,1943-11-22 00:00:00,Unknown,112.85,1.4,"$3,845,630,030,824 ",70.2,104.0,80.9,48.8,51.165691,10.451526
